Depression,Sleep Quality,Academic Performance,Study Load,Teacher Student Relationship,Future Career Concerns,Social Support,Peer Pressure,Extracurricular Activities,Stress Level,Anxiety,Living Conditions
11,2,3,2,3,3,2,3,3,1,14,3
15,1,1,4,1,5,1,4,5,2,15,1
14,2,2,3,3,2,2,3,2,1,12,2
15,1,2,4,1,4,1,4,4,2,16,2
7,5,4,3,1,2,1,5,0,1,16,2
21,1,2,5,2,5,1,4,4,2,20,2
6,4,5,1,4,1,3,2,2,1,4,4
22,1,1,3,2,4,1,4,4,2,17,1
12,2,3,3,2,3,3,3,2,1,13,3
27,1,2,2,1,5,1,5,3,1,6,5
25,1,1,3,1,4,1,4,4,2,17,2
22,1,1,3,1,4,1,5,5,2,17,2
8,4,5,2,4,1,3,1,1,1,5,3
24,1,1,2,3,3,0,1,0,2,9,2
3,4,4,2,5,1,3,1,2,1,2,3
14,2,3,3,3,3,2,3,2,1,11,2
1,4,5,1,5,1,3,2,2,1,6,4
3,4,4,2,5,1,3,1,1,1,7,4
12,2,2,3,2,2,3,3,2,1,11,2
25,1,1,5,2,5,1,4,4,2,21,1
0,4,5,2,5,1,3,1,2,1,3,3
21,1,2,5,1,4,1,4,4,2,18,1
5,4,4,2,5,1,3,1,2,1,7,3
26,1,1,3,1,4,1,5,4,2,20,2
14,2,3,2,3,2,3,3,3,1,13,2
8,5,4,1,4,1,3,2,1,1,6,4
27,1,1,3,1,4,1,5,5,2,18,2
20,3,4,0,2,2,1,1,2,1,7,1
14,3,3,2,3,2,3,2,2,1,13,3
24,1,2,3,1,4,1,4,5,2,17,1
3,5,4,2,4,1,3,2,2,1,0,4
10,0,3,4,2,4,1,0,2,1,15,3
27,1,2,3,2,4,1,4,4,2,15,2
9,2,3,3,2,2,2,3,2,1,9,3
3,4,5,2,4,1,3,1,1,1,7,4
14,2,2,3,2,2,2,3,2,1,9,3
14,3,2,2,2,2,2,2,2,1,12,3
8,5,5,2,5,1,3,1,1,1,7,4
20,1,1,4,1,4,1,5,4,2,21,1
6,5,5,1,4,1,3,1,1,1,5,4
6,5,4,2,4,1,3,2,2,1,5,4
0,4,5,2,4,1,3,1,2,1,8,4
2,5,5,1,5,1,3,2,2,1,1,3
16,1,2,3,1,4,1,5,4,2,19,2
22,1,2,3,2,5,1,5,5,2,15,2
1,5,4,2,4,1,3,2,2,1,3,4
27,1,1,4,2,4,1,4,4,2,19,2
7,4,4,2,4,1,3,1,1,1,7,4
10,2,3,2,3,3,2,3,2,1,12,3
4,5,4,2,5,1,3,2,2,1,2,4
5,4,4,1,5,1,3,2,2,1,8,3
14,3,2,2,3,3,2,3,3,1,10,2
0,4,5,2,5,1,3,2,2,1,6,4
24,1,2,3,2,4,1,4,5,2,19,1
13,3,3,3,3,3,2,2,2,1,13,3
11,2,2,3,2,2,3,2,3,1,13,3
11,2,3,2,2,2,3,2,3,1,12,3
5,5,5,1,5,1,3,2,1,1,8,3
2,4,4,2,5,1,3,1,1,1,4,3
5,4,5,2,5,1,3,1,2,1,4,4
0,4,5,1,4,1,3,2,2,1,4,4
2,0,0,0,0,5,1,4,5,1,8,4
1,4,4,1,4,1,3,1,2,1,3,3
10,2,2,3,3,3,3,2,3,1,12,3
13,5,2,0,0,4,0,1,4,1,21,4
3,4,5,2,5,1,3,1,2,1,5,3
15,1,2,4,2,5,1,5,4,2,18,1
9,3,3,3,3,2,3,3,2,1,11,2
10,2,2,3,2,2,3,2,2,1,11,3
18,3,3,2,1,5,1,1,5,1,1,2
0,5,5,1,4,1,3,1,1,1,5,4
23,1,2,5,2,4,1,4,4,2,21,2
4,4,5,1,4,1,3,2,2,1,2,4
7,4,5,1,4,1,3,2,1,1,0,3
20,1,1,4,2,4,1,5,4,2,21,2
26,1,1,5,1,5,1,5,5,2,17,1
20,1,2,5,2,4,1,5,5,2,20,1
5,5,4,1,5,1,3,2,1,1,1,3
12,2,3,3,3,2,2,2,3,1,13,2
23,1,2,4,2,5,1,4,4,2,18,2
5,5,4,1,5,1,3,2,2,1,4,4
14,2,2,3,3,3,2,3,3,1,9,2
17,1,1,4,2,5,1,4,5,2,17,1
8,4,4,2,4,1,3,2,2,1,0,3
12,3,3,2,2,3,3,2,3,1,13,2
12,2,3,2,3,2,2,3,2,1,10,2
10,3,2,2,2,3,3,2,3,1,9,3
21,1,1,5,2,5,1,4,5,2,17,2
13,3,2,3,3,3,3,2,3,1,11,2
18,1,1,4,1,5,1,5,4,2,17,2
13,2,2,3,3,3,2,3,3,1,9,2
18,1,1,5,2,4,1,5,5,2,16,2
18,1,2,4,1,5,1,5,4,2,20,2
19,5,2,4,4,5,1,0,1,2,9,3
22,5,3,5,1,2,1,2,3,1,8,1
11,3,5,5,0,3,0,3,3,1,19,4
19,1,1,4,1,5,1,4,4,2,15,1
23,1,2,3,2,4,1,4,5,2,17,1
1,5,5,1,5,1,3,1,1,1,6,4
13,3,3,3,3,2,2,3,2,1,9,3
22,4,0,0,0,2,0,3,5,1,13,4
22,4,4,2,4,2,0,1,3,1,20,1
13,2,3,2,3,3,3,2,2,1,11,3
12,2,2,2,2,2,2,3,3,1,12,3
7,4,4,1,5,1,3,1,1,1,3,4
2,5,4,2,4,1,3,1,1,1,8,4
27,1,1,3,1,5,1,4,5,2,19,1
1,4,4,2,4,1,3,1,2,1,3,4
25,1,2,5,1,5,1,5,5,2,16,1
20,1,2,3,2,4,1,4,5,2,15,2
7,5,5,1,4,1,3,2,1,1,1,4
19,1,2,3,1,5,1,4,5,2,17,2
8,4,4,1,5,1,3,2,1,1,5,4
13,2,2,3,3,3,2,2,2,1,9,2
22,4,1,2,2,3,1,0,2,2,3,5
27,1,1,5,1,4,1,4,4,2,17,2
12,3,2,3,2,3,2,3,3,1,13,2
17,1,1,3,2,5,1,5,5,2,19,2
24,1,2,5,1,5,1,4,4,2,18,1
11,2,2,2,3,2,3,3,2,1,9,3
0,4,5,1,4,1,3,2,2,1,6,3
18,1,1,4,1,5,1,4,4,2,18,1
8,4,4,1,5,1,3,1,2,1,7,4
11,3,2,2,2,3,2,2,2,1,9,2
14,2,2,2,3,3,2,2,3,1,13,3
6,4,4,3,2,1,1,2,5,1,19,5
14,3,3,2,3,3,2,3,3,1,13,2
2,4,4,2,4,1,3,2,2,1,6,3
27,3,3,5,4,2,1,1,3,2,14,3
13,3,3,3,2,2,3,2,2,1,14,3
6,4,4,2,4,1,3,1,2,1,5,4
13,3,3,3,3,2,3,2,2,1,12,3
8,0,4,4,2,3,1,5,2,1,20,2
11,3,2,2,3,3,3,2,2,1,14,3
10,3,2,2,2,2,3,2,3,1,11,2
3,0,1,5,3,1,1,5,0,1,7,4
0,4,5,1,5,1,3,2,1,1,6,4
20,1,2,3,2,5,1,5,4,2,19,1
0,4,4,2,5,1,3,1,1,1,8,3
11,3,2,2,2,2,2,2,3,1,10,2
1,5,2,5,3,3,1,0,2,2,1,2
24,5,2,5,0,4,0,1,5,1,13,3
13,2,2,3,3,3,3,2,2,1,11,3
1,5,4,2,4,1,3,2,1,1,2,4
12,5,1,5,2,0,1,2,3,2,6,4
5,5,4,2,4,1,3,1,2,1,2,3
14,2,3,2,3,2,2,3,2,1,9,2
20,1,2,5,1,4,1,4,5,2,18,2
14,2,2,3,3,2,2,2,3,1,9,2
20,1,2,3,2,4,1,4,4,2,18,2
